Time (s),Range (mm),Lumens (0dB)
0.59,45,13.57
0.88,44,13.57
1.06,45,13.63
1.7,45,13.63
1.86,44,13.57
2.02,44,13.57
2.17,44,13.57
2.33,46,13.57
2.5,44,13.5
2.66,44,13.5
2.81,44,13.5
2.97,45,13.57
3.12,45,13.76
3.29,44,13.95
3.44,45,14.02
3.59,43,14.02
3.75,44,14.02
3.91,43,14.02
4.07,44,14.08
4.22,44,14.08
4.38,45,14.08
4.54,44,14.02
4.7,44,13.95
4.86,45,13.95
5.03,45,14.02
5.19,44,13.95
5.35,45,13.89
5.5,45,13.76
5.66,43,13.38
5.83,45,12.99
5.99,44,12.8
6.15,44,12.67
6.3,44,12.42
6.46,44,12.22
6.63,45,12.03
6.79,45,11.9
6.96,45,11.84
7.12,42,11.9
7.28,44,12.22
7.45,43,12.99
7.61,48,14.27
7.77,45,14.98
7.93,46,14.78
8.08,46,14.4
8.25,47,13.89
8.41,45,13.18
8.57,45,14.08
8.73,44,13.31
8.88,44,13.18
9.06,45,13.38
9.22,41,13.31
9.38,43,13.18
9.53,45,12.67
9.69,44,12.54
9.85,43,12.22
10.01,46,11.52
10.17,43,11.2
10.33,42,10.94
10.48,43,9.79
10.64,41,9.28
10.8,44,9.09
10.96,44,9.41
11.11,42,9.54
11.27,42,9.6
11.43,45,9.79
11.58,44,9.6
11.74,43,9.73
11.9,40,9.98
12.07,45,9.98
12.23,42,9.86
12.38,43,10.11
12.54,41,9.98
12.7,43,10.24
12.87,41,10.18
13.03,41,10.05
13.19,42,10.24
13.34,40,10.18
13.5,41,10.3
13.67,43,10.3
13.83,41,10.3
13.99,41,10.18
14.15,41,10.3
14.3,40,10.24
14.47,40,10.05
14.63,40,9.73
14.79,39,9.22
14.94,41,8.45
15.1,39,8.0
15.27,42,8.26
15.43,39,8.83
15.58,41,9.02
15.74,40,9.02
15.9,40,9.15
16.06,41,9.15
16.22,42,8.96
16.37,41,8.77
16.53,40,8.64
16.69,39,8.51
16.84,40,8.32
17.0,41,8.19
17.16,42,8.13
17.32,40,8.06
17.47,39,8.0
17.65,42,8.13
17.8,40,8.19
17.96,42,8.26
18.12,41,8.26
18.27,39,8.13
18.44,40,8.06
18.6,41,8.13
18.76,39,8.06
18.92,41,8.06
19.07,40,8.06
19.25,41,8.13
19.4,40,8.13
19.56,40,8.19
19.72,40,8.26
19.88,42,8.26
20.05,40,8.26
20.21,39,8.13
20.37,42,8.0
20.52,42,8.0
20.68,40,8.0
20.86,41,7.94
21.02,40,7.94
21.17,41,7.94
21.33,41,7.87
21.49,40,7.81
21.67,40,7.74
21.83,42,7.74
21.99,37,7.62
22.15,37,7.55
22.31,37,7.42
22.48,36,7.36
22.64,35,7.23
22.8,34,7.23
22.97,34,7.3
23.13,35,7.3
23.29,36,7.36
23.46,33,7.36
23.62,34,7.49
23.78,33,7.42
23.95,33,7.49
24.12,35,7.49
24.28,34,7.49
24.44,35,7.49
24.61,33,7.42
24.79,33,7.42
24.95,34,7.42
25.1,33,7.49
25.26,31,7.55
25.42,32,7.68
25.59,31,7.74
25.75,32,7.74
25.91,33,7.68
26.06,33,7.55
26.22,33,7.36
26.39,33,7.17
26.57,33,7.04
26.72,32,7.04
26.88,32,7.1
27.04,32,7.1
27.21,35,7.1
27.37,35,7.04
27.53,33,7.04
27.68,34,6.98
27.84,33,6.98
28.01,33,6.98
28.17,32,6.98
28.33,34,6.98
28.49,35,7.1
28.64,33,7.23
28.82,33,7.23
28.97,33,7.36
29.13,35,7.49
29.28,34,7.68
29.44,32,7.87
29.61,33,7.87
29.77,32,7.87
29.93,32,7.87
30.08,34,7.94
30.24,34,7.81
30.41,32,7.68
30.57,32,7.62
30.73,32,7.55
30.88,31,7.55
31.04,31,7.68
31.21,33,7.74
31.39,32,7.81
31.54,32,7.81
31.71,35,7.81
31.86,33,7.87
32.03,31,7.87
32.21,33,7.94
32.36,30,7.81
32.52,33,7.55
32.68,33,7.23
32.85,32,7.62
33.01,34,7.87
33.17,32,8.0
33.33,32,8.06
33.48,36,8.26
33.66,33,8.38
33.82,34,8.51
33.98,35,8.64
34.13,33,8.7
34.3,32,8.7
34.47,34,8.83
34.63,33,8.77
34.79,35,8.83
34.94,33,8.83
35.1,35,8.9
35.28,34,8.96
35.44,33,8.9
35.59,34,8.83
35.75,35,8.77
35.91,36,8.64
36.08,37,8.64
36.24,37,8.64
36.4,39,8.7
36.55,37,8.77
36.71,36,8.7
36.88,37,8.7
37.04,37,8.7
37.2,36,8.77
37.35,37,8.64
37.51,37,8.45
37.68,37,8.19
37.84,36,8.0
37.99,37,7.81
38.15,40,7.74
38.31,38,7.68
38.48,37,7.62
38.66,36,7.74
38.82,37,7.94
38.98,41,7.94
39.13,37,8.13
39.31,38,8.19
39.47,36,8.26
39.63,37,8.26
39.79,37,8.32
39.95,40,8.32
40.12,37,8.32
40.28,39,8.38
40.43,38,8.38
40.59,38,8.38
40.75,38,8.38
40.92,38,8.38
41.08,38,8.38
41.23,38,8.38
41.39,39,8.38
41.55,39,8.32
41.72,39,8.38
41.88,38,8.38
42.04,39,8.38
42.19,38,8.38
42.35,37,8.32
42.52,38,8.26
42.68,38,8.26
42.84,36,8.32
43.0,37,8.32
43.16,37,8.32
43.33,38,8.32
43.49,37,8.32
43.65,38,8.32
43.8,40,8.26
43.96,40,8.26
44.14,40,8.19
44.29,41,8.19
44.45,38,8.0
44.61,38,7.81
44.77,40,7.94
44.94,37,8.58
45.1,40,9.15
45.26,42,9.73
45.42,43,10.18
45.58,41,11.9
45.75,39,12.42
45.91,43,12.67
46.06,42,12.22
46.22,44,12.29
46.38,41,12.86
46.55,44,13.63
46.71,45,14.08
46.87,46,13.89
47.02,44,13.38
47.18,42,13.89
47.35,45,13.06
47.51,45,13.57
47.67,45,12.54
47.83,46,13.06
47.99,43,12.93
48.16,45,11.58
48.33,47,11.33
48.51,47,11.52
48.66,46,11.9
48.82,44,12.16
48.99,47,12.8
49.15,47,13.31
49.31,45,13.76
49.46,45,13.95
49.62,46,14.02
49.79,46,14.02
49.95,48,14.02
50.1,45,14.02
