Time (s)	Range (mm)	Lumens (0dB)
0.60	47	10.18
0.91	44	10.11
1.10	46	10.18
1.77	47	10.18
1.94	44	10.18
2.10	45	10.18
2.26	46	10.18
2.43	43	10.18
2.58	46	10.18
2.74	44	10.18
2.90	46	10.18
3.06	45	10.18
3.23	45	10.24
3.38	46	10.24
3.54	45	10.24
3.69	44	10.18
3.86	45	9.54
4.04	46	9.15
4.19	45	8.83
4.35	44	8.19
4.50	44	7.68
4.66	46	7.55
4.83	45	7.68
4.99	45	7.55
5.15	44	7.94
5.31	43	8.26
5.46	43	8.77
5.62	46	8.64
5.78	45	9.09
5.94	46	9.09
6.10	44	9.60
6.26	46	10.11
6.43	44	10.43
6.58	45	10.94
6.74	48	11.52
6.90	46	11.78
7.06	45	11.90
7.21	44	12.03
7.37	44	12.10
7.53	46	12.10
7.68	45	12.10
7.84	44	12.22
8.00	45	12.35
8.16	45	12.42
8.31	45	12.54
8.47	46	12.67
8.63	45	12.80
8.79	45	12.86
8.95	43	12.86
9.10	45	12.86
9.26	44	12.86
9.42	45	12.80
9.58	45	12.74
9.73	45	12.67
9.89	45	12.67
10.05	45	12.48
10.21	46	12.48
10.36	43	12.48
10.52	47	12.48
10.68	44	12.48
10.83	45	12.48
10.99	44	12.48
11.14	46	12.42
11.30	45	12.42
11.46	45	12.35
11.62	45	12.35
11.77	45	12.35
11.93	45	12.35
12.09	46	12.42
12.24	44	12.42
12.40	45	12.42
12.56	44	12.42
12.72	43	12.42
12.88	44	12.29
13.05	44	12.10
13.21	45	11.84
13.37	46	11.78
13.55	45	11.90
13.71	44	12.03
13.88	46	12.16
14.04	46	12.22
14.20	43	12.22
14.38	44	12.22
14.53	43	12.22
14.69	43	12.22
14.85	45	12.22
15.01	45	12.10
15.18	43	11.97
15.34	43	11.97
15.49	44	11.90
15.65	45	11.90
15.81	44	11.84
15.97	43	11.84
16.12	44	11.84
16.28	44	11.84
16.44	45	11.84
16.59	43	11.84
16.75	44	11.84
16.91	46	11.90
17.07	44	11.90
17.22	46	11.84
17.38	45	11.84
17.54	43	11.84
17.70	43	11.84
17.86	45	11.78
18.02	45	11.84
18.17	44	11.78
18.33	45	11.84
18.49	44	11.84
18.66	46	11.84
18.83	45	11.90
18.99	46	11.97
19.14	46	12.03
19.30	45	12.10
19.46	44	12.16
19.63	44	12.29
19.78	45	12.29
19.94	45	12.29
20.10	47	12.29
20.26	45	12.22
20.43	44	12.22
20.59	45	12.22
20.75	44	12.22
20.91	43	12.22
21.07	44	12.29
21.24	46	12.29
21.39	46	12.29
21.55	44	12.22
21.71	46	12.22
21.87	46	12.29
22.04	43	12.29
22.20	43	12.29
22.35	46	12.29
22.51	44	12.29
22.67	43	12.29
22.84	46	12.29
23.00	44	12.35
23.16	45	12.35
23.31	44	12.35
23.47	44	12.35
23.64	46	12.35
23.80	46	12.35
23.96	44	12.29
24.12	47	12.22
24.28	45	12.16
24.45	45	12.10
24.60	44	12.03
24.76	44	12.10
24.92	44	12.22
25.07	44	12.35
25.25	43	12.35
25.40	45	12.35
25.56	44	12.35
25.72	43	12.35
25.88	44	12.35
26.05	45	12.35
26.21	45	12.22
26.36	44	11.97
26.52	45	11.58
26.68	43	11.14
26.85	46	11.01
27.00	45	11.07
27.16	44	11.07
27.32	45	11.01
27.48	43	10.88
27.65	46	10.75
27.81	43	10.69
27.96	48	10.75
28.12	45	10.75
28.28	45	11.07
28.45	43	11.52
28.61	46	11.78
28.77	44	11.97
28.93	44	12.03
29.09	45	11.97
29.27	46	11.71
29.43	48	11.20
29.59	44	10.24
29.75	45	9.66
29.91	45	9.54
30.10	46	9.34
30.26	45	9.28
30.41	45	9.28
30.57	45	9.34
30.73	48	9.34
30.89	45	9.34
31.05	43	9.28
31.20	45	9.09
31.36	46	9.15
31.52	47	9.09
31.68	44	9.09
31.83	46	9.09
31.99	45	8.83
32.15	43	8.64
32.30	47	8.51
32.48	45	8.38
32.64	46	8.32
32.79	45	8.45
32.95	47	8.70
33.11	45	9.22
33.28	44	9.98
33.44	45	10.50
33.59	46	10.75
33.75	45	10.88
33.91	45	10.88
34.08	44	10.82
34.24	46	10.94
34.40	47	11.65
34.55	45	12.22
34.71	46	12.16
34.87	45	11.97
35.02	46	11.84
35.18	45	11.90
35.34	43	12.74
35.50	44	13.12
35.67	46	12.74
35.82	44	12.03
35.98	46	11.58
36.14	46	11.90
36.29	42	12.22
36.47	44	11.07
36.62	46	10.75
36.78	43	11.01
36.94	46	11.01
37.10	44	9.60
37.27	43	9.41
37.43	45	9.34
37.58	45	8.26
37.74	43	8.13
37.90	44	8.32
38.07	44	8.90
38.23	42	9.60
38.39	43	9.66
38.54	43	9.73
38.70	41	10.05
38.87	42	9.79
39.03	42	9.98
39.19	41	9.73
39.34	42	9.86
39.50	40	9.73
39.67	42	9.86
39.83	42	10.11
39.99	40	10.05
40.15	41	10.11
40.30	42	9.98
40.48	42	9.98
40.63	41	9.86
40.79	41	9.98
40.95	42	10.05
41.11	42	9.92
41.28	41	9.92
41.44	39	9.66
41.59	42	9.54
41.75	44	9.22
41.91	42	9.02
42.08	41	8.77
42.24	40	8.70
42.40	42	8.77
42.55	41	8.77
42.71	39	8.70
42.89	41	8.77
43.04	42	8.77
43.20	39	8.70
43.36	39	8.70
43.51	41	8.70
43.69	40	8.83
43.84	39	8.77
44.00	40	8.77
44.16	41	8.77
44.32	39	8.77
44.49	38	8.70
44.66	38	8.70
44.84	40	8.77
45.01	39	8.77
45.17	41	8.77
45.34	39	8.70
45.50	39	8.64
45.66	39	8.64
45.81	37	8.64
45.97	39	8.64
46.14	39	8.58
46.30	42	8.45
46.46	40	8.32
46.62	37	8.32
46.77	41	8.38
46.95	38	8.38
47.10	40	8.38
47.26	41	8.38
47.42	39	8.32
47.58	41	8.32
47.75	39	8.26
47.91	40	8.32
48.07	39	8.32
48.22	40	8.32
48.38	40	8.38
48.55	39	8.32
48.71	40	8.26
48.87	38	7.74
49.02	41	7.55
49.18	38	7.68
49.35	40	7.68
49.51	39	7.74
49.67	41	7.68
49.82	37	7.62
49.98	40	7.62
50.16	40	7.81
50.31	38	8.13
50.47	41	8.26
50.63	39	8.26
50.79	40	8.13
50.96	39	8.19
51.12	39	8.26
51.28	40	8.19
51.43	40	8.19
51.59	39	8.19
51.76	40	8.06
51.93	40	8.00
52.08	42	7.87
52.24	39	7.55
52.40	36	7.10
52.57	36	6.66
52.73	37	6.27
52.89	34	6.21
53.05	33	6.40
53.21	34	6.78
53.38	35	6.98
53.54	32	7.04
53.70	34	7.17
53.85	32	7.17
54.01	33	7.10
54.19	33	7.10
54.34	31	6.98
54.50	34	7.10
54.66	32	7.04
54.82	34	7.04
54.99	32	7.04
55.15	34	6.98
55.31	33	6.98
55.47	32	6.98
55.62	32	6.98
55.80	32	6.98
55.96	33	6.98
56.11	32	6.91
56.27	33	6.91
56.43	33	6.91
56.60	34	6.85
56.76	32	6.85
56.92	34	6.85
57.08	33	6.85
57.23	34	6.85
57.41	34	6.85
57.56	35	6.85
57.72	34	6.85
57.88	32	6.78
