Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s),Average of Vel Avg 3,Average of Manual Vel Avg 3
0.59,47,,,,,11.46,,,,,
0.94,46,,,,,11.33,,,,,
1.14,45,46.0,,,,11.26,,,,,
1.78,45,45.333333333333336,,,,11.07,-0.21862139917698187,,-1.0416666666666627,,
1.95,46,45.333333333333336,45.8,,,10.88,2.842170943040401e-14,,0.0,,
2.1,45,45.333333333333336,45.4,,,10.56,-2.842170943040401e-14,,0.0,-0.07287379972566062,-0.34722222222222093
2.26,45,45.333333333333336,45.2,,,9.41,-1.0416666666666572,,0.0,-0.34722222222221905,0.0
2.42,45,45.0,45.2,45.5,,8.38,0.0,,-2.0833333333333464,-0.34722222222222854,-0.6944444444444487
2.58,46,45.333333333333336,45.4,45.375,,8.45,1.0080645161290533,,2.0833333333333464,-0.01120071684586795,0.0
2.73,45,45.333333333333336,45.2,45.25,45.5,8.13,-1.0080645161290533,,0.0,0.0,0.0
2.89,44,45.0,45.0,45.125,45.2,8.06,-2.083333333333343,-1.2500000000000284,-2.0833333333333464,-0.6944444444444476,0.0
3.05,45,44.666666666666664,45.0,45.125,45.1,8.06,-2.0239156268568053,-0.6071746880570572,-2.083333333333352,-1.7051044921064005,-1.3888888888888993
3.22,44,44.333333333333336,44.8,44.875,45.0,8.26,2.6225490196078454,0.4325980392156623,-1.9607843137254581,-0.4948999801941009,-2.042483660130719
3.37,47,45.333333333333336,45.0,45.125,45.2,9.09,3.440860215053789,0.38575268817206165,6.6666666666666705,1.3464978692682763,0.8741830065359535
3.53,45,45.333333333333336,45.0,45.125,45.1,9.28,0.0,-0.6465053763440949,0.0,2.021136411553878,1.5686274509804043
3.68,44,45.333333333333336,45.0,45.0,45.0,10.56,-1.0080645161290533,-0.041666666666685614,0.0,0.8109318996415785,2.2222222222222237
3.84,46,45.0,45.2,45.0,45.1,10.75,-1.0416666666666856,0.3125000000000284,-2.083333333333352,-0.6832437275985797,-0.6944444444444503
4.0,45,45.0,45.4,45.0,45.1,10.94,-1.0416666666666856,-0.9375000000000284,0.0,-1.0304659498208082,-0.6944444444444503
4.16,43,44.666666666666664,44.6,44.875,44.8,11.14,-3.3019713261648747,-1.2513440860214757,-2.0833333333333464,-1.7951015531660819,-1.388888888888899
4.31,44,44.0,44.4,44.75,44.7,11.2,-3.3333333333333712,-0.3333333333333428,-4.444444444444445,-2.558990442054977,-2.1759259259259305
4.46,44,43.666666666666664,44.4,44.75,44.7,11.2,1.8772401433691925,0.30241935483871885,-2.2222222222222325,-1.5860215053763511,-2.9166666666666745
4.62,46,44.666666666666664,44.4,44.625,44.8,11.2,5.318100358422981,0.9905913978494993,6.249999999999995,1.287335722819601,-0.13888888888889403
4.77,46,45.333333333333336,44.6,44.75,45.0,11.2,2.3611111111111427,-0.11887254901957078,4.444444444444492,3.185483870967772,2.8240740740740846
4.94,44,45.333333333333336,44.8,44.75,44.7,11.2,-2.3611111111111427,-1.1813725490196134,0.0,1.772700119474327,3.5648148148148286
5.09,44,44.666666666666664,44.8,44.5,44.6,11.2,-2.293906810035878,0.2607526881720048,-4.444444444444492,-0.7646356033452927,-2.9605947323337506e-16
5.25,46,44.666666666666664,45.2,44.625,44.8,11.2,2.2939068100358497,0.6048387096774093,0.0,-0.7870370370370571,-1.4814814814814976
5.4,46,45.333333333333336,45.2,45.0,44.8,11.26,4.4444444444444855,0.33333333333337123,4.444444444444465,1.4814814814814856,-9.177843670234628e-15
5.55,46,46.0,45.2,45.25,44.9,11.26,2.3611111111111143,1.1813725490196418,4.444444444444445,3.0331541218638165,2.9629629629629695
5.72,46,46.0,45.6,45.5,45.2,11.33,-1.180555555555543,1.181372549019585,0.0,1.8750000000000189,2.9629629629629695
5.87,45,45.666666666666664,45.8,45.375,45.3,11.33,-4.171146953405014,0.041666666666685614,-2.2222222222222325,-0.9968637992831475,0.7407407407407373
6.03,43,44.666666666666664,45.2,45.0,45.2,11.33,-4.171146953404985,-0.6465053763440665,-6.249999999999995,-3.1742831541218473,-2.824074074074076
6.18,45,44.333333333333336,45.0,45.125,45.1,11.26,-1.1469534050179107,-0.6465053763440949,-2.2222222222221983,-3.16308243727597,-3.564814814814809
6.34,45,44.333333333333336,44.8,45.25,45.0,11.01,4.587813620071643,0.7298387096774093,0.0,-0.24342891278375114,-2.824074074074065
6.49,47,45.666666666666664,45.0,45.375,45.3,10.82,6.560457516339852,1.8897058823529562,8.888888888888836,3.3337725771311946,2.222222222222212
6.66,47,46.333333333333336,45.4,45.5,45.6,10.82,4.0478312537136105,1.177584670231738,3.92156862745101,5.065367463375035,4.270152505446615
6.82,47,47.0,46.2,45.625,45.7,10.69,0.8691756272401392,0.30241935483871885,4.166666666666648,3.825821465764534,5.659041394335497
6.97,46,46.666666666666664,46.4,45.625,45.7,10.69,-4.171146953405014,-0.6048387096774661,-2.222222222222246,0.24861997584957862,1.9553376906318032
7.13,44,45.666666666666664,46.2,45.5,45.5,10.82,-6.465053763440835,-1.2930107526881613,-6.249999999999995,-3.25567502986857,-1.4351851851851984
7.28,44,44.666666666666664,45.6,45.625,45.3,11.01,-2.622549019607817,-0.15686274509803866,-6.666666666666651,-4.419583245484556,-5.0462962962962985
7.45,47,45.0,45.6,45.875,45.5,11.33,3.0971479500891235,1.5363190730837744,1.960784313725505,-1.9968182776531762,-3.6519607843137147
7.61,46,45.666666666666664,45.4,46.0,45.8,12.1,0.8691756272401676,0.21908602150540446,4.166666666666648,0.4479248525738247,-0.17973856209150027
7.76,43,45.333333333333336,44.8,45.5,45.6,12.99,-3.163082437275989,-0.6881720430107521,-2.2222222222221983,0.26774704668443405,1.3017429193899839
7.92,45,44.666666666666664,45.0,45.25,45.6,13.18,-0.8691756272401676,-2.842170943040401e-14,-4.166666666666693,-1.0543608124253296,-0.7407407407407486
8.07,47,45.0,45.6,45.25,45.6,12.86,3.9379084967320352,-0.2757352941176521,2.2222222222222325,-0.03144985592804043,-1.3888888888888873
8.24,46,46.0,45.4,45.25,45.5,12.86,1.7788175876411287,-1.251114081996434,5.882352941176473,1.6158501523776654,1.3126361655773364
8.4,44,45.666666666666664,45.0,45.25,45.2,13.12,-2.083333333333343,-0.9375,-2.0833333333333464,1.2111309170132738,2.0070806100217853
8.56,46,45.333333333333336,45.6,45.5,45.2,13.5,-2.155017921146964,0.34408602150537604,-2.083333333333302,-0.8198445556130594,0.5718954248366072
8.71,45,45.0,45.6,45.25,45.3,12.48,-0.13888888888888573,0.6465053763440665,-2.2222222222222325,-1.4590800477897308,-2.129629629629628
8.87,45,45.333333333333336,45.2,45.125,45.4,12.03,2.842170943040401e-14,-0.3124999999999716,2.0833333333333695,-0.7646356033452738,-0.7407407407407227
9.03,45,45.0,45.0,45.375,45.2,11.65,-2.083333333333343,-1.25,-2.0833333333333464,-0.7407407407407334,-0.7407407407407375
9.19,44,44.666666666666664,45.0,45.25,45.0,11.07,0.13888888888888573,0.4274193548386904,-2.0833333333333464,-0.6481481481481429,-0.6944444444444421
9.34,46,45.0,45.0,45.125,45.3,10.5,0.13888888888888573,0.7298387096774377,2.2222222222222325,-0.6018518518518571,-0.6481481481481545
9.5,44,44.666666666666664,44.8,44.875,45.2,10.3,0.13888888888888573,-0.9905913978494709,-2.0833333333333464,0.13888888888888573,-0.6481481481481545
9.65,45,45.0,44.8,45.0,45.0,9.98,-0.8691756272401392,-1.2930107526881613,2.2222222222222325,-0.19713261648745592,0.7870370370370385
9.81,44,44.333333333333336,44.6,44.75,44.8,9.73,0.0,0.0,-4.166666666666648,-0.24342891278375114,-1.3425925925925883
9.97,46,45.0,45.0,44.875,45.0,9.98,2.01612903225805,0.26075268817203323,4.166666666666648,0.3823178016726369,0.7407407407407431
10.12,45,45.0,44.8,44.875,44.9,10.24,0.0,-0.6465053763441233,0.0,0.6720430107526832,-1.0362081563168128e-15
10.28,44,45.0,44.8,44.75,44.8,10.43,-5.208333333333314,-1.5625,0.0,-1.0640681003584216,1.3888888888888815
