Time (s),Displacement (mm),Velocity Gradient,Velocity Derivative,,,,,,,,,,
4,-0.051103,-2.08994012,,,,,,,,,,,
4.0167,-0.086005,-0.287676471,-2.08994012,,,,,,,,,,
4.0333,-0.061042,0.911316894,1.503795181,,,,,,,,,,
4.05,-0.055777,1.422365269,0.315269461,,,,,,,,,,
4.0667,-0.013535,1.381244572,2.529461078,,,,,,,,,,
4.0833,-0.0095526,0.800646057,0.239903614,,,,,,,,,,
4.1,0.013239,1.125197605,1.364766467,,,,,,,,,,
4.1167,0.028029,0.256351996,0.885628743,,,,,,,,,,
4.1333,0.021901,-0.519514649,-0.369156627,,,,,,,,,,
4.15,0.010699,-0.771538922,-0.670778443,,,,,,,,,,
4.1667,-0.0038684,-0.386118769,-0.872299401,,,,,,,,,,
4.1833,-0.0022557,-0.742437734,0.097150602,,,,,,,,,,
4.2,-0.02876,-0.968511976,-1.587083832,,,,,,,,,,
4.2167,-0.034604,-0.15813072,-0.34994012,,,,,,,,,,
4.2333,-0.034064,0.464992403,0.03253012,,,,,,,,,,
4.25,-0.019033,0.417874251,0.90005988,,,,,,,,,,
4.2667,-0.020107,0.507296677,-0.064311377,,,,,,,,,,
4.2833,-0.002254,0.920662378,1.075481928,,,,,,,,,,
4.3,0.01052,1.967305389,0.76491018,,,,,,,,,,
4.3167,0.063454,1.726281698,3.169700599,,,,,,,,,,
4.3333,0.068293,0.322724848,0.291506024,,,,,,,,,,
4.35,0.074207,0.68488024,0.354131737,,,,,,,,,,
4.3667,0.091168,2.113269395,1.015628743,,,,,,,,,,
4.3833,0.14436,1.598621933,3.204337349,,,,,,,,,,
4.4,0.14408,-0.448203593,-0.016766467,,,,,,,,,,
4.4167,0.12939,0.81827527,-0.879640719,,,,,,,,,,
4.4333,0.17099,0.841259931,2.506024096,,,,,,,,,,
4.45,0.15707,0.731437126,-0.833532934,,,,,,,,,,
4.4667,0.19542,1.380098708,2.296407186,,,,,,,,,,
4.4833,0.20321,0.217433049,0.469277108,,,,,,,,,,
4.5,0.20261,0.790419162,-0.035928144,,,,,,,,,,
4.5167,0.22961,-0.093121734,1.616766467,,,,,,,,,,
4.5333,0.19985,0.179410678,-1.792771084,,,,,,,,,,
4.55,0.23598,2.169760479,2.163473054,,,,,,,,,,
4.5667,0.27232,1.71616513,2.176047904,,,,,,,,,,
4.5833,0.29322,6.322350956,1.259036145,,,,,,,,,,
4.6,0.48387,13.63203593,11.41616766,,,,,,,,,,
4.6167,0.74853,18.20722074,15.84790419,,,,,,,,,,
4.6333,1.0897,19.05019065,20.55240964,,,,,,,,,,
4.65,1.3826,19.91916168,17.53892216,,,,,,,,,,
4.6667,1.755,22.87733455,22.2994012,,,,,,,,,,
4.6833,2.1443,22.68629321,23.45180723,,,,,,,,,,
4.7,2.5103,23.5748503,21.91616766,,,,,,,,,,
4.7167,2.9317,25.19194315,25.23353293,,,,,,,,,,
4.7333,3.3492,20.89649801,25.15060241,,,,,,,,,,
4.75,3.6267,14.86227545,16.61676647,,,,,,,,,,
4.7667,3.8456,10.38610492,13.10778443,,,,,,,,,,
4.7833,3.9731,12.38606896,7.680722892,,,,,,,,,,
4.8,4.259,12.09580838,17.11976048,,,,,,,,,,
4.8167,4.3771,9.105269218,7.071856287,,,,,,,,,,
4.8333,4.5618,8.720201516,11.12650602,,,,,,,,,,
4.85,4.667,6.188622754,6.299401198,,,,,,,,,,
4.8667,4.7685,4.573574982,6.077844311,,,,,,,,,,
4.8833,4.8196,3.59150309,3.078313253,,,,,,,,,,
4.9,4.8882,1.739520958,4.107784431,,,,,,,,,,
4.9167,4.8777,-0.062676449,-0.628742515,,,,,,,,,,
4.9333,4.886,-1.092508676,0.5,,,,,,,,,,
4.95,4.841,-1.140718563,-2.694610778,,,,,,,,,,
4.9667,4.8479,0.024700843,0.413173653,,,,,,,,,,
4.9833,4.8419,0.084401262,-0.361445783,,,,,,,,,,
5,4.8508,1.580838323,0.532934132,,,,,,,,,,
5.0167,4.8947,0.89351331,2.628742515,,,,,,,,,,
5.0333,4.8809,1.021869211,-0.831325301,,,,,,,,,,
5.05,4.9291,1.416167665,2.886227545,,,,,,,,,,
5.0667,4.9282,3.024439128,-0.053892216,,,,,,,,,,
5.0833,5.0292,2.809517619,6.084337349,,,,,,,,,,
5.1,5.0211,1.658682635,-0.48502994,,,,,,,,,,
5.1167,5.0846,1.267100879,3.80239521,,,,,,,,,,
5.1333,5.0638,1.556647911,-1.253012048,,,,,,,,,,
5.15,5.137,2.979041916,4.383233533,,,,,,,,,,
5.1667,5.1633,2.845446197,1.574850299,,,,,,,,,,
5.1833,5.2315,2.917086699,4.108433735,,,,,,,,,,
5.2,5.2602,3.913173653,1.718562874,,,,,,,,,,
5.2167,5.3622,2.355912077,6.107784431,,,,,,,,,,
5.2333,5.3394,2.532028313,-1.373493976,,,,,,,,,,
5.25,5.4473,4.092814371,6.461077844,,,,,,,,,,
5.2667,5.4761,2.747869397,1.724550898,,,,,,,,,,
5.2833,5.5386,3.010551241,3.765060241,,,,,,,,,,
5.3,5.5762,2.386227545,2.251497006,,,,,,,,,,
5.3167,5.6183,3.072370942,2.520958084,,,,,,,,,,
5.3333,5.6784,3.920116892,3.620481928,,,,,,,,,,
5.35,5.7489,3.104790419,4.221556886,,,,,,,,,,
5.3667,5.7821,3.102771229,1.988023952,,,,,,,,,,
5.3833,5.852,2.765463862,4.210843373,,,,,,,,,,
5.4,5.8739,1.700598802,1.311377246,,,,,,,,,,
5.4167,5.9088,2.313652625,2.089820359,,,,,,,,,,
5.4333,5.9509,1.707693373,2.536144578,,,,,,,,,,
5.45,5.9655,0.47005988,0.874251497,,,,,,,,,,
5.4667,5.9666,1.208040556,0.065868263,,,,,,,,,,
5.4833,6.0055,0.781182561,2.343373494,,,,,,,,,,
5.5,5.9923,0.341317365,-0.790419162,,,,,,,,,,
5.5167,6.0169,0.827969048,1.473053892,,,,,,,,,,
5.5333,6.02,0.102608958,0.186746988,,,,,,,,,,
5.55,6.0203,-0.338323353,0.017964072,,,,,,,,,,
5.5667,6.0087,-0.859848305,-0.694610778,,,,,,,,,,
5.5833,5.9917,-0.361349807,-1.024096386,,,,,,,,,,
5.6,5.9968,0.314371257,0.305389222,,,,,,,,,,
5.6167,6.0022,-0.675651736,0.323353293,,,,,,,,,,
5.6333,5.9745,-0.34431441,-1.668674699,,,,,,,,,,
5.65,5.991,-0.880239521,0.988023952,,,,,,,,,,
5.6667,5.9451,-0.805180153,-2.748502994,,,,,,,,,,
5.6833,5.9638,0.46345375,1.126506024,,,,,,,,,,
5.7,5.9604,0.670658683,-0.203592814,,,,,,,,,,
5.7167,5.9862,1.159856451,1.54491018,,,,,,,,,,
5.7333,5.9991,0.544942136,0.777108434,,,,,,,,,,
5.75,6.0043,0.976047904,0.311377246,,,,,,,,,,
5.7667,6.0317,1.431177697,1.640718563,,,,,,,,,,
5.7833,6.052,0.380450323,1.222891566,,,,,,,,,,
5.8,6.0442,1.75748503,-0.467065868,,,,,,,,,,
5.8167,6.1107,2.012228772,3.982035928,,,,,,,,,,
5.8333,6.1116,1.531640399,0.054216867,,,,,,,,,,
5.85,6.162,1.646706587,3.017964072,,,,,,,,,,
5.8667,6.1666,1.091976473,0.275449102,,,,,,,,,,
5.8833,6.1982,1.435253882,1.903614458,,,,,,,,,,
5.9,6.2143,0.562874251,0.964071856,,,,,,,,,,
5.9167,6.217,0.648561122,0.161676647,,,,,,,,,,
5.9333,6.2358,1.812719292,1.13253012,,,,,,,,,,
5.95,6.2775,1.071856287,2.497005988,,,,,,,,,,
5.9667,6.2716,0.210583717,-0.353293413,,,,,,,,,,
5.9833,6.2844,-0.046128085,0.771084337,,,,,,,,,,
6,6.2699,-0.326347305,-0.868263473,,,,,,,,,,
6.0167,6.2735,0.367274785,0.215568862,,,,,,,,,,
6.0333,6.2821,0.423990183,0.518072289,,,,,,,,,,
6.05,6.2876,0.832335329,0.329341317,,,,,,,,,,
6.0667,6.3099,0.281980812,1.335329341,,,,,,,,,,
6.0833,6.2972,-0.192637519,-0.765060241,,,,,,,,,,
6.1,6.3036,-0.011976048,0.383233533,,,,,,,,,,
6.1167,6.2968,0.135381034,-0.407185629,,,,,,,,,,
6.1333,6.308,0.675669826,0.674698795,,,,,,,,,,
6.15,6.3193,1.520958084,0.676646707,,,,,,,,,,
6.1667,6.3588,3.13977288,2.365269461,,,,,,,,,,
6.1833,6.4237,2.148745925,3.909638554,,,,,,,,,,
6.2,6.43,0.532934132,0.377245509,,,,,,,,,,
6.2167,6.4415,1.325132758,0.688622754,,,,,,,,,,
6.2333,6.474,1.638559958,1.957831325,,,,,,,,,,
6.25,6.496,1.988023952,1.317365269,,,,,,,,,,
6.2667,6.5404,2.705988977,2.658682635,,,,,,,,,,
6.2833,6.5861,2.374651652,2.753012048,,,,,,,,,,
6.3,6.6194,1.817365269,1.994011976,,,,,,,,,,
6.3167,6.6468,-0.321056465,1.640718563,,,,,,,,,,
6.3333,6.6091,0.249082536,-2.271084337,,,,,,,,,,
6.35,6.6556,1.754491018,2.784431138,,,,,,,,,,
6.3667,6.6677,1.50013974,0.724550898,,,,,,,,,,
6.3833,6.7054,2.404601088,2.271084337,,,,,,,,,,
6.4,6.7478,1.739520958,2.538922156,,,,,,,,,,
6.4167,6.7635,1.015466191,0.94011976,,,,,,,,,,
6.4333,6.7816,0.803529704,1.090361446,,,,,,,,,,
6.45,6.7902,0.778443114,0.51497006,,,,,,,,,,
6.4667,6.8076,1.830548173,1.041916168,,,,,,,,,,
6.4833,6.851,1.714132356,2.614457831,,,,,,,,,,
6.5,6.8645,1.203592814,0.808383234,,,,,,,,,,
6.5167,6.8912,0.863464648,1.598802395,,,,,,,,,,
6.5333,6.8934,0.05153895,0.13253012,,,,,,,,,,
6.55,6.8929,0.634730539,-0.02994012,,,,,,,,,,
6.5667,6.9146,1.360727584,1.299401198,,,,,,,,,,
6.5833,6.9382,1.799525664,1.421686747,,,,,,,,,,
6.6,6.9746,2.362275449,2.179640719,,,,,,,,,,
6.6167,7.0171,1.534490121,2.54491018,,,,,,,,,,
6.6333,7.0259,1.37329899,0.530120482,,,,,,,,,,
6.65,7.063,2.290419162,2.221556886,,,,,,,,,,
6.6667,7.1024,2.287860619,2.359281437,,,,,,,,,,
6.6833,7.1392,2.278905556,2.21686747,,,,,,,,,,
6.7,7.1783,1.356287425,2.341317365,,,,,,,,,,
6.7167,7.1845,1.583837535,0.371257485,,,,,,,,,,
6.7333,7.2308,1.75696875,2.789156627,,,,,,,,,,
6.75,7.2428,1.203592814,0.718562874,,,,,,,,,,
6.7667,7.271,0.660510305,1.688622754,,,,,,,,,,
6.7833,7.265,0.535139425,-0.361445783,,,,,,,,,,
6.8,7.289,0.667664671,1.437125749,,,,,,,,,,
6.8167,7.2873,0.583684254,-0.101796407,,,,,,,,,,
6.8333,7.3083,1.067257648,1.265060241,,,,,,,,,,
6.85,7.3228,1.72754491,0.868263473,,,,,,,,,,
6.8667,7.366,1.437562626,2.586826347,,,,,,,,,,
6.8833,7.3709,0.962944295,0.295180723,,,,,,,,,,
6.9,7.3982,0.925149701,1.634730539,,,,,,,,,,
6.9167,7.4018,1.140674691,0.215568862,,,,,,,,,,
6.9333,7.436,1.839169593,2.060240964,,,,,,,,,,
6.95,7.463,2.02994012,1.616766467,,,,,,,,,,
6.9667,7.5038,2.740519612,2.443113772,,,,,,,,,,
6.9833,7.5542,2.283811407,3.036144578,,,,,,,,,,
7,7.5797,0.682634731,1.526946108,,,,,,,,,,
7.0167,7.577,0.828753543,-0.161676647,,,,,,,,,,
7.0333,7.6071,1.285461748,1.813253012,,,,,,,,,,
7.05,7.6197,1.613772455,0.754491018,,,,,,,,,,
7.0667,7.661,2.000171371,2.473053892,,,,,,,,,,
7.0833,7.6864,0.898698641,1.530120482,,,,,,,,,,
7.1,7.6908,-0.383233533,0.263473054,,,,,,,,,,
7.1167,7.6736,-1.268696949,-1.02994012,,,,,,,,,,
7.1333,7.6486,-0.373190664,-1.506024096,,,,,,,,,,
7.15,7.6614,0.808056848,0.766467066,,,,,,,,,,
7.1666,7.6755,0.046876506,0.84939759,,,,,,,,,,
7.1833,7.6628,-1.251497006,-0.760479042,,,,,,,,,,
7.2,7.6337,-2.016656582,-1.74251497,,,,,,,,,,
7.2166,7.5957,-1.127120339,-2.289156627,,,,,,,,,,
7.2333,7.5964,-0.02994012,0.041916168,,,,,,,,,,
7.25,7.5947,0.380239521,-0.101796407,,,,,,,,,,
7.2667,7.6091,-0.524822492,0.862275449,,,,,,,,,,
7.2833,7.5775,-0.566612786,-1.903614458,,,,,,,,,,
7.3,7.5905,0.566297233,0.778443114,,,,,,,,,,
7.3166,7.5964,1.115541088,0.355421687,,,,,,,,,,
7.3333,7.6278,2.074850299,1.880239521,,,,,,,,,,
7.35,7.6657,2.146410316,2.269461078,,,,,,,,,,
7.3666,7.6993,0.850911224,2.024096386,,,,,,,,,,
7.3833,7.6938,-0.479041916,-0.329341317,,,,,,,,,,
7.4,7.6833,0.230369609,-0.628742515,,,,,,,,,,
7.4166,7.7013,2.021382179,1.084337349,,,,,,,,,,
7.4333,7.7508,2.026946108,2.964071856,,,,,,,,,,
7.45,7.769,0.636927708,1.089820359,,,,,,,,,,
7.4666,7.7721,0.069773727,0.186746988,,,,,,,,,,
7.4833,7.7713,0.404191617,-0.047904192,,,,,,,,,,
7.5,7.7856,0.239520958,0.856287425,,,,,,,,,,
7.5167,7.7793,0.660870921,-0.377245509,,,,,,,,,,
7.5333,7.8074,1.738463483,1.692771084,,,,,,,,,,
7.55,7.8372,1.798885351,1.784431138,,,,,,,,,,
7.5666,7.8673,1.013824841,1.813253012,,,,,,,,,,
7.5833,7.8708,-0.511976048,0.209580838,,,,,,,,,,
7.6,7.8502,0.678113652,-1.233532934,,,,,,,,,,
7.6166,7.893,0.618413233,2.578313253,,,,,,,,,,
7.6333,7.8704,0.314371257,-1.353293413,,,,,,,,,,
7.65,7.9035,1.498606716,1.982035928,,,,,,,,,,
7.6666,7.9204,2.513513838,1.018072289,,,,,,,,,,
7.6833,7.9875,2.586826347,4.017964072,,,,,,,,,,
7.7,8.0068,0.159198156,1.155688623,,,,,,,,,,
7.7166,7.993,0.717397074,-0.831325301,,,,,,,,,,
7.7333,8.031,0.517964072,2.275449102,,,,,,,,,,
7.75,8.0103,0.808383234,-1.239520958,,,,,,,,,,
7.7667,8.058,2.686672027,2.856287425,,,,,,,,,,
7.7833,8.0998,3.206065672,2.518072289,,,,,,,,,,
7.8,8.1649,2.662268863,3.898203593,,,,,,,,,,
7.8166,8.1887,0.883196377,1.43373494,,,,,,,,,,
7.8333,8.1942,0.146706587,0.329341317,,,,,,,,,,
7.85,8.1936,1.719218569,-0.035928144,,,,,,,,,,
7.8666,8.2511,2.056525937,3.463855422,,,,,,,,,,
7.8833,8.2618,2.080838323,0.640718563,,,,,,,,,,
7.9,8.3206,1.839782933,3.520958084,,,,,,,,,,
7.9166,8.3234,-0.315402192,0.168674699,,,,,,,,,,
7.9333,8.31,-1.128742515,-0.80239521,,,,,,,,,,
7.95,8.2857,-0.374913258,-1.45508982,,,,,,,,,,
7.9666,8.2973,0.684769179,0.698795181,,,,,,,,,,
7.9833,8.3085,1.248502994,0.670658683,,,,,,,,,,
8,8.339,0.623427518,1.826347305,,,,,,,,,,
8.0166,8.3295,0.987600074,-0.572289157,,,,,,,,,,
8.0333,8.3722,1.847305389,2.556886228,,,,,,,,,,
8.05,8.3912,0.787693797,1.137724551,,,,,,,,,,
8.0666,8.3985,1.656334893,0.439759036,,,,,,,,,,
8.0833,8.4466,2.161676647,2.880239521,,,,,,,,,,
8.1,8.4707,0.921803305,1.443113772,,,,,,,,,,
8.1166,8.4774,-0.325935451,0.403614458,,,,,,,,,,
8.1333,8.4597,-0.080838323,-1.05988024,,,,,,,,,,
8.15,8.4747,0.715568862,0.898203593,,,,,,,,,,
8.1667,8.4836,0.39557388,0.532934132,,,,,,,,,,
8.1833,8.4879,-0.055164283,0.259036145,,,,,,,,,,
8.2,8.4817,0.706151249,-0.371257485,,,,,,,,,,
8.2166,8.5112,1.359870837,1.777108434,,,,,,,,,,
8.2333,8.5269,-0.152694611,0.94011976,,,,,,,,,,
8.25,8.5061,-0.068024268,-1.245508982,,,,,,,,,,
8.2666,8.5244,0.791661765,1.102409639,,,,,,,,,,
8.2833,8.5324,1.814371257,0.479041916,,,,,,,,,,
8.3,8.585,1.379792136,3.149700599,,,,,,,,,,
8.3166,8.5787,0.036532709,-0.379518072,,,,,,,,,,
8.3333,8.5863,1.547904192,0.45508982,,,,,,,,,,
8.35,8.6304,1.0142849,2.640718563,,,,,,,,,,
8.3666,8.6204,-0.075247746,-0.602409639,,,,,,,,,,
8.3833,8.628,0.526946108,0.45508982,,,,,,,,,,
8.4,8.638,1.089820359,0.598802395,,,,,,,,,,
8.4167,8.6644,1.549361063,1.580838323,,,,,,,,,,
8.4333,8.6896,1.107577962,1.518072289,,,,,,,,,,
8.45,8.7012,1.358328713,0.694610778,,,,,,,,,,
8.4666,8.7347,0.937440759,2.018072289,,,,,,,,,,
8.4833,8.7322,0.428143713,-0.149700599,,,,,,,,,,
8.5,8.749,1.253735772,1.005988024,,,,,,,,,,
8.5166,8.7739,1.599998202,1.5,,,,,,,,,,
8.5333,8.8023,1.751497006,1.700598802,,,,,,,,,,
8.55,8.8324,1.469477955,1.80239521,,,,,,,,,,
8.5666,8.8513,0.185918947,1.138554217,,,,,,,,,,
8.5833,8.8384,-0.362275449,-0.77245509,,,,,,,,,,
8.6,8.8392,0.531423856,0.047904192,,,,,,,,,,
8.6166,8.856,1.426930141,1.012048193,,,,,,,,,,
8.6333,8.8868,0.266467066,1.844311377,,,,,,,,,,
8.65,8.8649,-0.769461078,-1.311377246,,,,,,,,,,
8.6667,8.8611,-0.083219862,-0.22754491,,,,,,,,,,
8.6833,8.8621,0.824226506,0.060240964,,,,,,,,,,
8.7,8.8887,1.386149875,1.592814371,,,,,,,,,,
8.7166,8.9083,1.195108535,1.180722892,,,,,,,,,,
8.7333,8.9285,0.724550898,1.209580838,,,,,,,,,,
8.75,8.9325,-0.143434286,0.239520958,,,,,,,,,,
8.7666,8.9238,-0.194179642,-0.524096386,,,,,,,,,,
