Time	Distance	Lumens (0dB)
0.64	61		5.12
0.90	61		5.12
1.12	63		5.12
1.81	58		5.12
1.98	63		5.12
2.14	61		5.12
2.31	63		5.12
2.47	61		5.12
2.63	64		5.12
2.79	62		5.12
2.95	61		5.12
3.11	63		5.12
3.27	60		5.12
3.43	61		5.12
3.59	61		4.80
3.75	61		4.80
3.91	61		4.80
4.07	59		4.48
4.23	61		4.48
4.39	59		4.48
4.55	53		5.12
4.71	17		6.40
4.87	19		2.24
5.03	14		3.20
5.20	16		3.20
5.37	16		3.52
5.53	16		3.20
5.69	15		3.20
5.85	13		2.88
6.01	15		3.20
6.18	17		3.52
6.34	17		3.20
6.50	17		3.20
6.67	15		3.20
6.82	17		3.20
6.99	16		3.20
7.15	15		3.20
7.33	17		3.20
7.49	17		3.20
7.65	18		3.20
7.80	17		3.20
7.96	20		8.64
8.12	47		4.16
8.29	61		4.48
8.46	57		4.80
8.64	60		4.80
8.80	56		4.80
8.97	59		4.80
9.18	59		4.80
9.37	61		4.80
9.59	58		4.80
9.77	61		4.80
9.95	57		4.80
10.11	60		4.80
