Time (s),Range (mm),Lumens (0dB)
0.6,43,17.47
0.9,44,17.54
1.08,45,17.54
1.71,44,17.54
1.87,45,17.47
2.03,44,17.47
2.18,42,17.47
2.33,43,17.54
2.5,42,17.54
2.65,42,17.54
2.8,43,17.54
2.96,44,17.54
3.11,44,17.54
3.28,44,17.54
3.43,44,17.54
3.58,45,17.54
3.74,43,17.54
3.89,43,17.54
4.05,44,17.54
4.2,43,17.66
4.35,42,17.66
4.51,44,17.54
4.66,45,17.41
4.82,42,17.22
4.98,42,16.96
5.14,45,16.83
5.3,43,16.9
5.46,41,17.02
5.62,42,17.28
5.78,44,18.05
5.94,44,18.88
6.09,45,19.71
6.25,46,20.16
6.41,43,19.71
6.57,45,19.26
6.74,45,17.34
6.9,44,16.7
7.06,45,17.54
7.22,44,17.22
7.37,44,16.7
7.54,44,16.58
7.7,44,16.83
7.86,44,16.77
8.02,43,16.83
8.18,45,17.02
8.35,44,17.41
8.51,43,17.47
8.67,44,17.6
8.83,43,17.66
8.98,41,17.47
9.15,42,17.47
9.31,42,17.6
9.47,43,17.47
9.63,41,17.22
9.79,42,17.47
9.96,40,17.22
10.12,43,17.41
10.28,43,17.54
10.44,41,17.28
10.6,44,18.05
10.77,41,18.43
10.93,41,19.39
11.09,40,19.65
11.25,43,20.42
11.4,40,20.48
11.58,42,21.12
11.74,44,20.03
11.9,44,17.6
12.06,40,15.49
12.22,42,15.87
12.39,39,19.71
12.55,39,21.44
12.7,42,21.95
12.87,40,21.76
13.03,43,22.14
13.2,40,21.76
13.36,41,22.08
13.52,42,21.82
13.68,42,22.14
13.84,42,21.82
14.01,40,21.82
14.16,42,22.21
14.32,41,21.89
14.47,42,22.14
14.63,41,22.08
14.8,41,22.21
14.96,39,21.82
15.11,40,22.21
15.27,39,21.82
15.43,42,22.08
15.62,42,22.14
15.77,41,21.89
15.93,42,22.08
16.09,42,21.95
16.24,43,21.95
16.41,41,21.89
16.57,42,22.14
16.73,41,21.82
16.89,42,22.21
17.04,42,21.82
17.22,39,22.21
17.37,40,21.82
17.53,42,22.08
17.69,42,21.82
17.85,40,22.14
18.02,43,22.21
18.18,40,21.82
18.33,40,22.21
18.49,41,21.89
18.65,41,22.14
18.82,43,22.02
18.98,41,20.48
19.13,40,19.07
19.29,40,18.05
19.45,41,17.79
19.62,41,17.79
19.78,40,17.73
19.94,39,18.43
20.09,40,19.58
20.25,42,21.12
20.42,42,20.93
20.58,38,20.29
20.74,41,20.29
20.9,40,19.71
21.05,41,19.14
21.22,41,14.46
21.38,41,13.18
21.54,43,13.44
21.69,43,12.8
21.85,42,11.84
22.04,42,11.52
22.19,40,12.29
22.35,40,12.99
22.51,41,13.12
22.67,41,13.31
22.84,41,12.67
23.0,42,12.35
23.16,41,12.16
23.32,39,11.84
23.48,42,11.9
23.65,42,11.97
23.81,42,11.84
23.97,40,11.9
24.13,40,11.97
24.29,39,11.84
24.45,40,11.97
24.6,40,11.9
24.76,42,11.78
24.92,40,11.84
25.07,43,11.84
25.23,41,11.71
25.39,39,11.71
25.55,42,11.65
25.7,39,11.58
25.88,38,11.58
26.04,38,11.71
26.2,37,11.65
26.35,36,11.71
26.51,33,11.78
26.68,35,11.84
26.84,34,11.71
27.0,35,11.78
27.15,36,11.78
27.31,32,11.84
27.49,33,11.84
27.64,33,11.9
27.8,33,11.9
27.95,32,11.97
28.11,32,11.9
28.27,32,11.9
28.42,31,11.84
28.58,33,11.9
28.74,31,11.9
28.9,32,11.9
29.05,32,11.9
29.21,34,11.9
29.36,33,11.9
29.52,34,11.84
29.71,32,11.78
29.87,34,11.78
30.03,33,11.71
30.19,32,11.78
30.35,32,11.78
30.5,32,11.78
30.66,32,11.58
30.82,33,10.43
30.98,31,9.98
31.13,34,9.98
31.29,34,9.86
