Time (s)	Range (mm)	Lumens (0dB)
0.60	44	10.88
0.99	43	10.94
1.17	44	10.94
1.81	43	10.94
1.97	44	10.94
2.12	45	10.94
2.28	42	10.88
2.45	44	10.88
2.61	45	10.88
2.76	44	10.88
2.92	43	10.88
3.08	45	10.82
3.24	43	10.88
3.40	45	11.01
3.56	43	11.14
3.72	43	11.14
3.87	45	11.14
4.04	45	11.07
4.20	46	11.01
4.35	46	10.94
4.51	45	10.94
4.67	45	10.88
4.84	46	10.94
4.99	44	10.94
5.15	44	10.94
5.30	45	10.94
5.46	46	10.94
5.62	46	10.94
5.78	46	10.94
5.93	45	10.94
6.09	47	10.94
6.25	47	10.94
6.40	47	11.01
6.57	47	11.01
6.72	47	11.01
6.88	49	11.01
7.03	46	11.01
7.18	45	11.01
7.35	46	10.94
7.51	46	10.94
7.66	46	11.01
7.82	46	11.01
7.97	46	11.01
8.13	48	11.01
8.28	47	11.01
8.44	46	11.01
8.61	46	11.01
8.77	46	11.01
8.95	46	11.01
9.11	47	11.01
9.27	46	11.01
9.43	46	11.01
9.59	47	11.01
9.75	49	11.01
9.92	47	11.01
10.08	47	11.01
10.24	45	11.01
10.40	47	11.01
10.56	47	11.01
10.74	46	11.01
10.90	45	11.07
11.05	45	11.07
11.21	46	11.14
11.37	45	11.14
11.54	45	11.14
11.69	45	11.07
11.85	46	11.07
12.01	47	11.14
12.17	47	11.14
12.34	46	11.14
12.49	45	11.14
12.65	47	11.14
12.81	47	11.20
12.96	46	11.20
13.13	47	11.20
13.29	47	11.20
13.45	45	11.26
13.60	47	11.26
13.76	46	11.26
13.93	47	11.26
14.09	45	11.26
14.25	47	11.26
14.40	49	11.26
14.56	48	11.20
14.73	48	11.07
14.89	47	10.94
15.05	49	10.94
15.20	47	11.01
15.36	48	10.88
15.53	48	10.82
15.69	49	10.75
15.85	48	10.69
16.00	48	10.62
16.16	47	10.62
16.33	47	10.62
16.49	47	10.56
16.65	47	10.56
16.80	48	10.50
16.96	46	10.62
17.13	46	10.75
17.29	46	10.75
17.45	49	10.69
17.61	48	10.62
17.77	47	10.43
17.95	47	10.30
18.11	46	10.24
