,Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity (mm/s),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s)
0,0.58,44,,,,,20.48,-6.451612903225805,,,
1,0.89,42,,,,,20.48,8.17423743691026,,,
2,1.07,45,43.666666666666664,,,,20.74,11.97916666666672,,,
3,1.71,42,43.0,,,,20.86,9.0625,3.1249999999999716,,-1.0416666666666632
4,1.87,44,43.666666666666664,43.4,,,20.8,-0.8333333333333428,-1.4247311827957105,,4.166666666666648
5,2.02,42,42.666666666666664,43.0,,,20.8,-3.3333333333333144,-2.2222222222222,,-6.6666666666666705
6,2.17,43,43.0,43.2,,,20.8,3.333333333333343,0.0,,2.222222222222239
7,2.32,43,42.666666666666664,42.8,43.125,,20.8,1.4210854715202004e-14,-0.2614379084967311,,-2.222222222222239
8,2.49,43,43.0,43.0,43.0,,20.67,-3.541666666666657,-0.2614379084967595,,1.9607843137254999
9,2.64,42,42.666666666666664,42.6,43.0,43.0,20.74,0.0,-1.1111111111111427,,-2.222222222222239
10,2.79,43,42.666666666666664,42.8,42.75,42.9,20.74,3.333333333333343,0.0,0.0,0.0
11,2.94,43,42.666666666666664,42.8,42.875,43.0,20.8,2.842170943040401e-14,1.008064516129025,-0.26075268817203323,0.0
12,3.1,43,43.0,42.8,42.75,42.8,20.86,-10.32258064516131,-2.4327956989247355,-1.2930107526881898,2.0833333333333464
13,3.25,40,42.0,42.2,42.5,42.6,20.86,-1.25,-3.4408602150537604,-0.9905913978494709,-6.6666666666666705
14,3.41,43,42.0,42.4,42.5,42.5,20.8,15.3631907308378,1.9013666072489457,0.5336452762923187,0.0
15,3.58,45,42.666666666666664,42.8,42.75,42.8,20.54,5.704099821746894,7.267528223410579,1.4995543672014264,3.9215686274509682
16,3.74,45,44.333333333333336,43.2,43.0,43.0,20.61,-3.125,6.249999999999972,0.9375000000000284,10.416666666666687
17,3.9,44,44.666666666666664,43.4,43.25,43.1,20.8,0.0,1.0416666666666288,0.9374999999999716,2.0833333333333077
18,4.06,45,44.666666666666664,44.4,43.5,43.3,20.74,-2.48440285204984,-1.9013666072489315,0.9291443850267314,0.0
19,4.23,43,44.0,44.4,43.5,43.4,20.99,-1.9730392156861853,-1.8382352941176237,0.6299019607843377,-3.921568627450948
20,4.38,44,44.0,44.2,43.625,43.5,20.93,0.4166666666666856,-2.01612903225805,0.34408602150537604,0.0
21,4.54,43,43.333333333333336,43.8,44.0,43.5,20.93,-6.465053763440864,-3.163082437275989,-0.34408602150537604,-4.166666666666648
22,4.69,42,43.0,43.4,43.875,43.4,20.93,-3.333333333333286,-3.3333333333333144,0.33333333333337123,-2.2222222222222325
23,4.84,42,42.333333333333336,42.8,43.5,43.6,20.99,5.514705882352928,-1.4419934640523024,0.9840686274510091,-4.444444444444445
24,5.01,44,42.666666666666664,43.0,43.375,43.7,20.8,1.973039215686299,2.099673202614383,-0.43259803921569073,1.9607843137254632
25,5.16,43,43.0,42.8,43.25,43.5,20.8,5.684341886080802e-14,3.3333333333333712,-0.9999999999999716,2.2222222222222325
26,5.31,44,43.666666666666664,43.0,43.125,43.4,20.8,-5.631720430107478,-0.7302867383512535,-1.2513440860215326,4.444444444444445
27,5.47,41,42.666666666666664,42.8,42.875,43.1,20.8,-9.909420289855092,-4.076086956521749,-1.454710144927553,-6.249999999999995
28,5.77,43,42.666666666666664,43.0,42.75,42.9,20.8,5.065681444991796,0.0,-0.13711001642036535,0.0
29,6.05,44,42.666666666666664,43.0,42.875,43.0,19.9,5.586932447397572,5.788113695090459,0.5586932447397714,0.0
30,6.2,45,44.0,43.4,43.25,43.1,17.92,-0.9184726522188384,4.967320261437877,0.37254901960784537,8.888888888888884
31,6.39,43,44.0,43.2,43.375,43.1,17.66,-8.584568216658171,-0.0732008013561316,0.021960240406857068,0.0
32,7.23,43,43.666666666666664,43.6,43.25,43.2,20.1,8.58456821665817,-0.07320080135613694,1.3096454729055438,-0.3968253968253993
33,7.42,45,43.666666666666664,44.0,43.5,43.5,20.1,-1.2593984962405642,-0.7539682539682389,0.37656641604007746,0.0
34,7.63,42,43.333333333333336,43.6,43.25,43.3,19.58,-6.390977443609017,-1.7936999361147627,-0.7511425622880381,-1.587301587301565
